Title,Year,Console
Minecraft: Wii U Edition,2015,Wii U
Mario & Sonic at the Rio 2016 Olympic Games,2016,"Wii U, Nintendo 3DS"
Mario Party Superstars,2017,Nintendo 3DS
Mario Kart Arcade GP VR,2017,Arcade
Minecraft: New Nintendo 3DS Edition,2017,New Nintendo 3DS
Super Mario Odyssey (later updates),2018,Nintendo Switch
Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,2018,Nintendo Switch
Mario Kart Tour ( 2019 Halloween Tour onwards),2019,"iOS, Android"
Mario & Sonic at the Olympic Games Tokyo 2020 - Arcade Edition,2020,Arcade
Super Mario Bros. 35,2020,Nintendo Switch
Donkey Kong,1981,Arcade
Mario's Cement Factory,1983,Game & Watch
Mario Bros.,1983,Arcade
Mario's Bombs Away,1983,Game & Watch
Pinball,1984,Nintendo Entertainment System
Golf,1984,Nintendo Entertainment System
Stroke & Match Golf,1984,VS. System
VS. Wrecking Crew,1984,VS. System
Mario Bros. Special,1984,Home computers
Punch Ball Mario Bros.,1984,Home computers
Wrecking Crew,1985,Nintendo Entertainment System
Super Mario Bros.,1985,Nintendo Entertainment System
VS. Super Mario Bros.,1986,VS. System
I am a teacher: Super Mario Sweater,1986,Family Computer Disk System
All Night Nippon: Super Mario Bros.,1986,Family Computer Disk System
Golf: Japan Course,1987,Family Computer Disk System
Golf: US Course,1987,Family Computer Disk System
Famicom Grand Prix: F1 Race,1987,Family Computer Disk System
Famicom Grand Prix II: 3D Hot Rally,1988,Family Computer Disk System
Super Mario Bros. 2,1988,Nintendo Entertainment System
Super Mario Bros. 3,1988,Nintendo Entertainment System
Mario Bros. Returns,1988,Family Computer Disk System
Pinball,1989,Family Computer Disk System
Tetris,1989,Game Boy
Wrecking Crew,1989,Family Computer Disk System
Alleyway,1989,Game Boy
Super Mario Land,1989,Game Boy
Dr. Mario,1990,Nintendo Entertainment System
Dr. Mario,1990,Game Boy
VS. Dr. Mario,1990,VS. System
Super Mario World,1990,Super Nintendo Entertainment System
Mario Teaches Typing,1991,Personal computer
Super Mario Bros. & Friends: When I Grow Up,1991,Personal computer
Mario the Juggler,1991,Game & Watch
Yoshi,1991,Game Boy
Yoshi,1991,Nintendo Entertainment System
Mario is Missing!,1992,Personal computer
Mario is Missing!,1992,Super Nintendo Entertainment System
Super Mario Bros.,1992,Arcade
Super Mario Bros. Mushroom World,1992,Arcade
Terebi Denwa: Super Mario World,1992,Arcade
Super Mario Kart,1992,Super Nintendo Entertainment System
Mario Paint,1992,Super Nintendo Entertainment System
Yoshi's Cookie,1992,Nintendo Entertainment System
Yoshi's Cookie,1992,Game Boy
Super Mario Race,1992,Gamewatch Boy
Super Mario Land 2: 6 Golden Coins,1992,Game Boy
Būbū Mario,1993,Arcade
Mario's Time Machine,1993,Personal computer
Mario is Missing!,1993,Nintendo Entertainment System
Mario's Time Machine,1993,Super Nintendo Entertainment System
Mario & Wario,1993,Super Nintendo Entertainment System
Super Mario All-Stars,1993,Super Nintendo Entertainment System
Mario's Early Years! Fun with Letters,1993,Super Nintendo Entertainment System
Mario's Early Years! Fun with Numbers,1993,Super Nintendo Entertainment System
Mario's Early Years! Preschool Fun,1993,Super Nintendo Entertainment System
Yoshi's Cookie,1993,Super Nintendo Entertainment System
Yoshi's Safari,1993,Super Nintendo Entertainment System
Super Mario World 2: Yoshi's Island,1995,Super Nintendo Entertainment System
Mario Teaches Typing 2,1996,Personal computer
Wrecking Crew '98,1998,Satellaview
Super Mario Bros. Deluxe,1998,Game Boy Color
Mario Golf,1998,Nintendo 64
Mobile Golf,2001,Game Boy Color
Super Mario World: Super Mario Advance 2,2001,Game Boy Advance
Yakuman DS,2004,Nintendo DS
NBA Street V3,2005,Nintendo GameCube
SSX on Tour,2005,Nintendo GameCube
Super Princess Peach,2006,Nintendo DS
Mario & Sonic at the Olympic Games,2007,Nintendo DS
Game & Watch Collection,2008,Nintendo DS
Mario Power Tennis (New Play Control!),2008,Wii
Mario Party Kurukuru Carnival,2012,Arcade
Mario and Donkey Kong: Minis on the Move,2013,Nintendo 3DS ( eShop )
Super Mario Run,2016,iOS
Super Mario Run,2017,Android
WarioWare Twisted Marble Maze Game,2005,Adobe Shockwave
WarioWare: Snapped!,2008,Nintendo DSi
Game & Watch Gallery,1994,Game Boy
Nintendo Land,2012,Wii U
Yoshi's Story,1997,Nintendo 64
Pinball,1984,Family Computer
Family BASIC,1984,Family Computer
Family BASIC V3,1985,Family Computer
Game & Watch Gallery 2,1998,"Game Boy, Game Boy Color"
Classic NES Series: Donkey Kong,2004,Game Boy Advance
Game & Watch Collection,2006,Nintendo DS
Mario vs. Donkey Kong: Minis March Again!,2009,DSiWare
Puzzle Swap,2013,Nintendo 3DS ( StreetPass Mii Plaza )
Mario vs. Donkey Kong: Tipping Stars,2015,Nintendo 3DS / Wii U
Super Mario Run,2017,iOS / Android
Mario Tennis Aces (version 2.3.0),2019,Nintendo Switch
Ring Fit Adventure,2020,Nintendo Switch
"Mario Kart 8 Deluxe ( Booster Course Pass, Wave 6)",2023,Nintendo Switch
Donkey Kong Bananza,2025,Nintendo Switch 2
