Boss,Game,Relation
Chain Chomp,Mario Kart DS,BOSS_IN
Chain Chomp,Mario Party 4,BOSS_IN
Chain Chomp,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN
Chain Chomp,New Super Mario Bros.,BOSS_IN
Chain Chomp,Mario Kart Wii,BOSS_IN
Chain Chomp,Mario Party 5,BOSS_IN
Chain Chomp,Mario & Luigi: Dream Team,BOSS_IN
Chain Chomp,Super Mario Galaxy,BOSS_IN
Chain Chomp,Mario Kart 7,BOSS_IN
Chain Chomp,Mario Party 6,BOSS_IN
Chain Chomp,Mario & Luigi: Paper Jam,BOSS_IN
Chain Chomp,New Super Mario Bros. Wii,BOSS_IN
Chain Chomp,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN
Chain Chomp,Mario Party Advance,BOSS_IN
Chain Chomp,Super Mario Galaxy 2,BOSS_IN
Chain Chomp,Mario Kart Tour,BOSS_IN
Chain Chomp,Mario Party 7,BOSS_IN
Chain Chomp,Super Mario 3D Land,BOSS_IN
Chain Chomp,Mario Kart Live: Home Circuit,BOSS_IN
Chain Chomp,Mario Party 8,BOSS_IN
Chain Chomp,New Super Mario Bros. 2,BOSS_IN
Chain Chomp,Mario Party 9,BOSS_IN
Chain Chomp,New Super Mario Bros. U / New Super Luigi U,BOSS_IN
Chain Chomp,Mario Party: Island Tour,BOSS_IN
Chain Chomp,Super Mario Maker subseries,BOSS_IN
Chain Chomp,Mario Party 10,BOSS_IN
Chain Chomp,Super Mario Odyssey,BOSS_IN
Chain Chomp,Mario Party: Star Rush,BOSS_IN
Chain Chomp,Mario Party: The Top 100,BOSS_IN
Chain Chomp,Super Mario Party,BOSS_IN
Chain Chomp,Mario Party Superstars,BOSS_IN
Chain Chomp,Super Mario Party Jamboree,BOSS_IN
Cheep Chomp,Super Mario 64 / Super Mario 64 DS,BOSS_IN
Cheep Chomp,Mario Party: Island Tour,BOSS_IN
Cheep Chomp,New Super Mario Bros.,BOSS_IN
Cheep Chomp,Mario Party 10,BOSS_IN
Cheep Chomp,New Super Mario Bros. Wii,BOSS_IN
Cheep Chomp,Super Mario Party,BOSS_IN
Cheep Chomp,New Super Mario Bros. 2,BOSS_IN
Cheep Chomp,Mario Party Superstars,BOSS_IN
Cheep Chomp,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN
Cheep Chomp,Super Mario Maker 2,BOSS_IN
Cheep Cheep,Super Mario Bros. / Super Mario Bros.: The Lost Levels,BOSS_IN
Cheep Cheep,Super Mario Kart,BOSS_IN
Cheep Cheep,Mario Party,BOSS_IN
Cheep Cheep,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN
Cheep Cheep,Super Mario Bros. 3 / Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN
Cheep Cheep,Mario Kart 64,BOSS_IN
Cheep Cheep,Mario Party 2,BOSS_IN
Cheep Cheep,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN
Cheep Cheep,Super Mario World / Super Mario World: Super Mario Advance 2,BOSS_IN
Cheep Cheep,Mario Kart: Super Circuit,BOSS_IN
Cheep Cheep,Mario Party 3,BOSS_IN
Cheep Cheep,Mario & Luigi: Paper Jam,BOSS_IN
Cheep Cheep,Super Mario Land 2: 6 Golden Coins,BOSS_IN
Cheep Cheep,Mario Kart: Double Dash!!,BOSS_IN
Cheep Cheep,Mario Party 4,BOSS_IN
Cheep Cheep,Super Mario 64 / Super Mario 64 DS,BOSS_IN
Cheep Cheep,Mario Kart Arcade GP / Mario Kart Arcade GP 2,BOSS_IN
Cheep Cheep,Mario Party 5,BOSS_IN
Cheep Cheep,Super Mario Sunshine,BOSS_IN
Cheep Cheep,Mario Kart DS,BOSS_IN
Cheep Cheep,Mario Party 6,BOSS_IN
Cheep Cheep,New Super Mario Bros.,BOSS_IN
Cheep Cheep,Mario Kart Wii,BOSS_IN
Cheep Cheep,Mario Party Advance,BOSS_IN
Cheep Cheep,Super Mario Galaxy,BOSS_IN
Cheep Cheep,Mario Kart 7,BOSS_IN
Cheep Cheep,Mario Party 7,BOSS_IN
Cheep Cheep,New Super Mario Bros. Wii,BOSS_IN
Cheep Cheep,Mario Kart Arcade GP DX,BOSS_IN
Cheep Cheep,Mario Party 8,BOSS_IN
Cheep Cheep,Super Mario Galaxy 2,BOSS_IN
Cheep Cheep,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN
Cheep Cheep,Mario Party DS,BOSS_IN
